System check identified some issues:

WARNINGS:
?: (1_7.W001) MIDDLEWARE_CLASSES is not set.
	HINT: Django 1.7 changed the global defaults for the MIDDLEWARE_CLASSES. django.contrib.sessions.middleware.SessionMiddleware, django.contrib.auth.middleware.AuthenticationMiddleware, and django.contrib.messages.middleware.MessageMiddleware were removed from the defaults. If your project needs these middleware then you should configure this setting.
2020-03-24 23:15:13,275 [INFO] [service_name=notifier] [base] Adding job tentatively -- it will be properly scheduled when the scheduler starts
2020-03-24 23:15:13,276 [INFO] [service_name=notifier] [base] Added job "digest_job" to job store "default"
2020-03-24 23:15:13,276 [INFO] [service_name=notifier] [base] Scheduler started
2020-03-24 23:20:00,023 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:20:00 UTC)" (scheduled at 2020-03-24 23:20:00+00:00)
2020-03-24 23:20:00,071 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:25:00 UTC)" executed successfully
2020-03-24 23:25:00,021 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:30:00 UTC)" (scheduled at 2020-03-24 23:25:00+00:00)
2020-03-24 23:25:00,037 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:30:00 UTC)" executed successfully
2020-03-24 23:30:00,001 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:35:00 UTC)" (scheduled at 2020-03-24 23:30:00+00:00)
2020-03-24 23:30:00,030 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:35:00 UTC)" executed successfully
2020-03-24 23:35:00,001 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:35:00 UTC)" (scheduled at 2020-03-24 23:35:00+00:00)
2020-03-24 23:35:00,026 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:40:00 UTC)" executed successfully
2020-03-24 23:40:00,017 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:40:00 UTC)" (scheduled at 2020-03-24 23:40:00+00:00)
2020-03-24 23:40:00,048 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:45:00 UTC)" executed successfully
2020-03-24 23:45:00,007 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:50:00 UTC)" (scheduled at 2020-03-24 23:45:00+00:00)
2020-03-24 23:45:00,040 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:50:00 UTC)" executed successfully
2020-03-24 23:50:00,003 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:50:00 UTC)" (scheduled at 2020-03-24 23:50:00+00:00)
2020-03-24 23:50:00,027 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-24 23:55:00 UTC)" executed successfully
2020-03-24 23:55:00,010 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:00:00 UTC)" (scheduled at 2020-03-24 23:55:00+00:00)
2020-03-24 23:55:00,027 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:00:00 UTC)" executed successfully
2020-03-25 00:00:00,029 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:05:00 UTC)" (scheduled at 2020-03-25 00:00:00+00:00)
2020-03-25 00:00:00,080 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:05:00 UTC)" executed successfully
2020-03-25 00:05:00,040 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:10:00 UTC)" (scheduled at 2020-03-25 00:05:00+00:00)
2020-03-25 00:05:00,122 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:10:00 UTC)" executed successfully
2020-03-25 00:10:00,016 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:15:00 UTC)" (scheduled at 2020-03-25 00:10:00+00:00)
2020-03-25 00:10:00,040 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:15:00 UTC)" executed successfully
2020-03-25 00:15:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:20:00 UTC)" (scheduled at 2020-03-25 00:15:00+00:00)
2020-03-25 00:15:00,091 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:20:00 UTC)" executed successfully
2020-03-25 00:20:00,020 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:20:00 UTC)" (scheduled at 2020-03-25 00:20:00+00:00)
2020-03-25 00:20:00,048 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:25:00 UTC)" executed successfully
2020-03-25 00:25:00,014 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:30:00 UTC)" (scheduled at 2020-03-25 00:25:00+00:00)
2020-03-25 00:25:00,052 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:30:00 UTC)" executed successfully
2020-03-25 00:30:00,080 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:35:00 UTC)" (scheduled at 2020-03-25 00:30:00+00:00)
2020-03-25 00:30:00,314 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:35:00 UTC)" executed successfully
2020-03-25 00:35:00,051 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:40:00 UTC)" (scheduled at 2020-03-25 00:35:00+00:00)
2020-03-25 00:35:00,128 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:40:00 UTC)" executed successfully
2020-03-25 00:40:00,036 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:45:00 UTC)" (scheduled at 2020-03-25 00:40:00+00:00)
2020-03-25 00:40:00,117 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:45:00 UTC)" executed successfully
2020-03-25 00:45:00,020 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" (scheduled at 2020-03-25 00:45:00+00:00)
2020-03-25 00:45:00,126 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" executed successfully
2020-03-25 00:50:00,029 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:50:00 UTC)" (scheduled at 2020-03-25 00:50:00+00:00)
2020-03-25 00:50:00,139 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:55:00 UTC)" executed successfully
2020-03-25 00:55:00,115 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 00:55:00 UTC)" (scheduled at 2020-03-25 00:55:00+00:00)
2020-03-25 00:55:00,293 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:00:00 UTC)" executed successfully
2020-03-25 01:00:00,099 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" (scheduled at 2020-03-25 01:00:00+00:00)
2020-03-25 01:00:00,150 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" executed successfully
2020-03-25 01:05:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:05:00 UTC)" (scheduled at 2020-03-25 01:05:00+00:00)
2020-03-25 01:05:00,047 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:10:00 UTC)" executed successfully
2020-03-25 01:10:00,008 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 01:15:00 UTC)" (scheduled at 2020-03-25 01:10:00+00:00)
